epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,974.064,0,109.47,0,0,0,0,0,0,193.894,0,0.00029967,0.00029967,0.00029967
2,1902.05,0,86.5659,0,0,0,0,0,0,155.171,0,0.000596704,0.000596704,0.000596704
3,2820.42,0,66.0244,0,0,0,0,0,0,120.206,0,0.000887738,0.000887738,0.000887738
4,3738.05,0,45.6702,0,0,0,0,0,0,80.5095,0,0.000882003,0.000882003,0.000882003
5,4651.85,0,29.4336,0,0,0,0,0,0,49.8815,0,0.000873004,0.000873004,0.000873004
6,5569.53,0,17.6513,0,0,0,0,0,0,26.5532,0,0.000864004,0.000864004,0.000864004
7,6488.2,0,9.72044,0,0,0,0,0,0,14.8082,0,0.000855005,0.000855005,0.000855005
8,7407.41,0,5.19981,0,0,0,0,0,0,6.90597,0,0.000846006,0.000846006,0.000846006
9,8328.38,0,2.69578,0,0,0,0,0,0,3.7791,0,0.000837007,0.000837007,0.000837007
10,9185.51,0,1.29467,0,0,0,0,0,0,2.0133,0,0.000828008,0.000828008,0.000828008
11,10021.1,0,0.62762,0,0,0,0,0,0,0.65631,0,0.000819009,0.000819009,0.000819009
12,10876.4,0,0.18078,0,0,0,0,0,0,0.26097,0,0.00081001,0.00081001,0.00081001
13,11733.9,0,0.0723,0,0,0,0,0,0,0.04562,0,0.000801011,0.000801011,0.000801011
14,12005.2,0,0.02095,0,0,0,0,0,0,0.04066,0,0.000792012,0.000792012,0.000792012
15,12252.9,0,0.01047,0,0,0,0,0,0,0.00234,0,0.000783013,0.000783013,0.000783013
16,12498.4,0,0.00043,0,0,0,0,0,0,3e-05,0,0.000774013,0.000774013,0.000774013
17,12745,0,0,0,0,0,0,0,0,0,0,0.000765014,0.000765014,0.000765014
18,12991.1,0,0,0,0,0,0,0,0,0,0,0.000756015,0.000756015,0.000756015
19,13236.5,0,0,0,0,0,0,0,0,0,0,0.000747016,0.000747016,0.000747016
20,13482.4,0,0,0,0,0,0,0,0,1e-05,0,0.000738017,0.000738017,0.000738017
21,13728.2,0,0,0,0,0,0,0,0,2e-05,0,0.000729018,0.000729018,0.000729018
22,13974.4,0,0,0,0,0,0,0,0,0,0,0.000720019,0.000720019,0.000720019
23,14220.6,0,0,0,0,0,0,0,0,1e-05,0,0.00071102,0.00071102,0.00071102
24,14466.7,0,0,0,0,0,0,0,0,2e-05,0,0.000702021,0.000702021,0.000702021
25,14712.9,0,0,0,0,0,0,0,0,4e-05,0,0.000693022,0.000693022,0.000693022
26,14959.1,0,0,0,0,0,0,0,0,0.00158,0,0.000684022,0.000684022,0.000684022
27,15205.4,0,0,0,0,0,0,0,0,0.07234,0,0.000675023,0.000675023,0.000675023
28,15452.2,0,0,0,0,0,0,0,0,0.89394,0,0.000666024,0.000666024,0.000666024
29,15699.2,0,0,0,0,0,0,0,0,2.81441,0,0.000657025,0.000657025,0.000657025
30,15946.2,0,0,0,0,0,0,0,0,8.72961,0,0.000648026,0.000648026,0.000648026
31,16193.4,0,0,0,0,0,0,0,0,6.46874,0,0.000639027,0.000639027,0.000639027
32,16441,0,0,0,0,0,0,0,0,7.70116,0,0.000630028,0.000630028,0.000630028
33,16688.2,0,0,0,0,0,0,0,0,26.7271,0,0.000621029,0.000621029,0.000621029
34,16934.8,0,0,0,0,0,0,0,0,20.4065,0,0.00061203,0.00061203,0.00061203
35,17182,0,0,0,0,0,0,0,0,16.7569,0,0.000603031,0.000603031,0.000603031
36,17428.7,0,0,0,0,0,0,0,0,22.3575,0,0.000594031,0.000594031,0.000594031
37,17675.1,0,0,0,0,0,0,0,0,62.2828,0,0.000585032,0.000585032,0.000585032
38,17922.2,0,0,0,0,0,0,0,0,4.04156,0,0.000576033,0.000576033,0.000576033
39,18169.2,0,0,0,0,0,0,0,0,25.2103,0,0.000567034,0.000567034,0.000567034
40,18415.5,0,0,0,0,0,0,0,0,78.7472,0,0.000558035,0.000558035,0.000558035
41,18661.5,0,0,0,0,0,0,0,0,0,0,0.000549036,0.000549036,0.000549036
42,18907.5,0,0,0,0,0,0,0,0,0,0,0.000540037,0.000540037,0.000540037
43,19153.9,0,0,0,0,0,0,0,0,0,0,0.000531038,0.000531038,0.000531038
44,19400,0,0,0,0,0,0,0,0,0.00457,0,0.000522039,0.000522039,0.000522039
45,19646.4,0,0,0,0,0,0,0,0,0.00016,0,0.00051304,0.00051304,0.00051304
46,19892.6,0,0,0,0,0,0,0,0,5e-05,0,0.00050404,0.00050404,0.00050404
47,20138.9,0,0,0,0,0,0,0,0,0,0,0.000495041,0.000495041,0.000495041
48,20384.7,0,0,0,0,0,0,0,0,1e-05,0,0.000486042,0.000486042,0.000486042
49,20631.6,0,0,0,0,0,0,0,0,1e-05,0,0.000477043,0.000477043,0.000477043
50,20878.2,0,0,0,0,0,0,0,0,2e-05,0,0.000468044,0.000468044,0.000468044
51,21125.1,0,0,0,0,0,0,0,0,7e-05,0,0.000459045,0.000459045,0.000459045
52,21372.1,0,0,0,0,0,0,0,0,0.00093,0,0.000450046,0.000450046,0.000450046
53,21618.7,0,0,0,0,0,0,0,0,0.00021,0,0.000441047,0.000441047,0.000441047
54,21865.1,0,0,0,0,0,0,0,0,5e-05,0,0.000432048,0.000432048,0.000432048
55,22111,0,0,0,0,0,0,0,0,0.00044,0,0.000423049,0.000423049,0.000423049
56,22357.3,0,0,0,0,0,0,0,0,4e-05,0,0.000414049,0.000414049,0.000414049
57,22604,0,0,0,0,0,0,0,0,0.00195,0,0.00040505,0.00040505,0.00040505
58,22852,0,0,0,0,0,0,0,0,0.00434,0,0.000396051,0.000396051,0.000396051
59,23104.3,0,0,0,0,0,0,0,0,1e-05,0,0.000387052,0.000387052,0.000387052
60,23350.6,0,0,0,0,0,0,0,0,5e-05,0,0.000378053,0.000378053,0.000378053
61,23597,0,0,0,0,0,0,0,0,0.00153,0,0.000369054,0.000369054,0.000369054
62,23842.9,0,0,0,0,0,0,0,0,0.78212,0,0.000360055,0.000360055,0.000360055
63,24088.6,0,0,0,0,0,0,0,0,0.0001,0,0.000351056,0.000351056,0.000351056
64,24441.4,0,0,0,0,0,0,0,0,0.00311,0,0.000342057,0.000342057,0.000342057
65,25309.7,0,0,0,0,0,0,0,0,0.00163,0,0.000333058,0.000333058,0.000333058
66,26211.1,0,0,0,0,0,0,0,0,0.04427,0,0.000324058,0.000324058,0.000324058
67,27093.2,0,0,0,0,0,0,0,0,0.0058,0,0.000315059,0.000315059,0.000315059
